set V := VEH01 VEH02 VEH03 VEH04 VEH05 ;
set N := PTO01 MUN02 MUN03 MUN04 MUN05 MUN06 MUN07 MUN08 MUN09 MUN10 MUN11 MUN12 MUN13 MUN14 MUN15 EST01 EST02 EST03 EST04 EST05 EST06 EST07 EST08 EST09 EST10 EST11 EST12 ;
set D := MUN02 MUN03 MUN04 MUN05 MUN06 MUN07 MUN08 MUN09 MUN10 MUN11 MUN12 MUN13 MUN14 MUN15 ;
set P := PTO01 ;
set E := EST01 EST02 EST03 EST04 EST05 EST06 EST07 EST08 EST09 EST10 EST11 EST12 ;
param Q :=
EST04 EST11 420.5615
EST04 EST12 147.6428
EST05 PTO01 709.5283
EST05 MUN02 311.3372
EST05 MUN03 168.0824
EST05 MUN04 324.2371
EST05 MUN05 382.6245
EST05 MUN06 153.8814
EST05 MUN07 447.5139
EST05 MUN08 292.6923
EST05 MUN09 299.1480
EST05 MUN10 131.6387
EST05 MUN11 146.1051
EST05 MUN12 250.9681
EST05 MUN13 164.7454
EST05 MUN14 191.9270
EST05 MUN15 200.5925
EST05 EST01 709.5283
EST05 EST02 661.7926
EST05 EST03 735.8671
EST05 EST04 297.0516
EST05 EST06 245.9211
EST05 EST07 303.7826
EST05 EST08 354.7817
EST05 EST09 459.0613
EST05 EST10 221.9620
EST05 EST11 151.8461
EST05 EST12 161.9743
EST06 PTO01 533.4813
EST06 MUN02 537.0575
EST06 MUN03 235.4733
EST06 MUN04 412.4484
EST06 MUN05 628.2368
EST06 MUN06 326.5637
EST06 MUN07 693.4046
EST06 MUN08 48.4424
EST06 MUN09 393.0873
EST06 MUN10 360.6692
EST06 MUN11 226.0878
EST06 MUN12 125.5817
EST06 MUN13 327.3203
EST06 MUN14 414.4353
EST06 MUN15 419.0170
EST06 EST01 533.4813
EST06 EST02 463.6347
EST06 EST03 577.6790
EST06 EST04 290.4329
EST06 EST05 245.9211
EST06 EST07 329.0947
EST06 EST08 215.9166
EST06 EST09 266.7631
EST06 EST10 164.5306
EST06 EST11 247.7635
EST06 EST12 268.6586
EST07 PTO01 860.0858
EST07 MUN02 575.1110
EST07 MUN03 444.4880
EST07 MUN04 105.1970
EST07 MUN05 541.5739
EST07 MUN06 457.6640
EST07 MUN07 615.0699
EST07 MUN08 364.7882
EST07 MUN09 100.0135
EST07 MUN10 289.3956
EST07 MUN11 160.3905
EST07 MUN12 211.0382
EST07 MUN13 183.9614
EST07 MUN14 474.2351
EST07 MUN15 290.1832
EST07 EST01 860.0858
EST07 EST02 783.9705
EST07 EST03 906.4720
EST07 EST04 558.1983
EST07 EST05 303.7826
EST07 EST06 329.0947
EST07 EST08 538.5941
EST07 EST09 594.0799
EST07 EST10 164.5641
EST07 EST11 151.9366
EST07 EST12 453.3971
EST08 PTO01 354.7469
EST08 MUN02 552.7860
EST08 MUN03 224.2074
EST08 MUN04 611.5498
EST08 MUN05 706.8101
EST08 MUN06 336.2249
EST08 MUN07 759.2840
EST08 MUN08 198.9192
EST08 MUN09 589.6887
EST08 MUN10 486.4140
EST08 MUN11 409.7565
EST08 MUN12 341.4398
EST08 MUN13 493.4953
EST08 MUN14 445.5289
EST08 MUN15 555.0885
EST08 EST01 354.7469
EST08 EST02 313.2375
EST08 EST03 384.0890
EST08 EST04 162.4701
EST08 EST05 354.7817
EST08 EST06 215.9166
EST08 EST07 538.5941
EST08 EST09 122.6282
EST08 EST10 375.8328
EST08 EST11 430.1093
EST08 EST12 260.0172
EST09 PTO01 266.7185
EST09 MUN02 675.0136
EST09 MUN03 344.1285
EST09 MUN04 679.1817
EST09 MUN05 823.4883
EST09 MUN06 457.1814
EST09 MUN07 878.1376
EST09 MUN08 229.5863
EST09 MUN09 659.5748
EST09 MUN10 589.5701
EST09 MUN11 487.3734
EST09 MUN12 384.4549
EST09 MUN13 581.5865
EST09 MUN14 566.0345
EST09 MUN15 656.0626
EST09 EST01 266.7185
EST09 EST02 203.4808
EST09 EST03 313.4648
EST09 EST04 280.9979
EST09 EST05 459.0613
EST09 EST06 266.7631
EST09 EST07 594.0799
EST09 EST08 122.6282
EST09 EST10 430.0765
EST09 EST11 508.8261
EST09 EST12 380.9287
EST10 PTO01 696.4878
EST10 MUN02 531.4723
EST10 MUN03 315.2589
EST10 MUN04 252.0082
EST10 MUN05 562.9126
EST10 MUN06 361.8326
EST10 MUN07 634.3835
EST10 MUN08 201.5780
EST10 MUN09 234.8944
EST10 MUN10 282.4901
EST10 MUN11 106.4275
EST10 MUN12 55.5358
EST10 MUN13 208.2962
EST10 MUN14 413.7621
EST10 MUN15 320.5874
EST10 EST01 696.4878
EST10 EST02 622.6725
EST10 EST03 742.0299
EST10 EST04 413.3325
EST10 EST05 221.9620
EST10 EST06 164.5306
EST10 EST07 164.5641
EST10 EST08 375.8328
EST10 EST09 430.0765
EST10 EST11 123.0498
EST10 EST12 334.2894
EST11 PTO01 773.7896
EST11 MUN02 436.6781
EST11 MUN03 299.7448
EST11 MUN04 187.1216
EST11 MUN05 443.4904
EST11 MUN06 305.7275
EST11 MUN07 515.8591
EST11 MUN08 293.9118
EST11 MUN09 163.2854
EST11 MUN10 165.6122
EST11 MUN11 21.6779
EST11 MUN12 175.3442
EST11 MUN13 86.0090
EST11 MUN14 328.2391
EST11 MUN15 197.7384
EST11 EST01 773.7896
EST11 EST02 709.5410
EST11 EST03 811.6343
EST11 EST04 420.5615
EST11 EST05 151.8461
EST11 EST06 247.7635
EST11 EST07 151.9366
EST11 EST08 430.1093
EST11 EST09 508.8261
EST11 EST10 123.0498
EST11 EST12 304.6742
EST12 PTO01 600.4345
EST12 MUN02 295.9202
EST12 MUN03 38.4902
EST12 MUN04 484.9187
EST12 MUN05 450.5293
EST12 MUN06 76.2661
EST12 MUN07 500.0931
EST12 MUN08 300.3958
EST12 MUN09 459.9074
EST12 MUN10 273.0843
EST12 MUN11 293.2093
EST12 MUN12 339.6394
EST12 MUN13 326.5720
EST12 MUN14 185.5278
EST12 MUN15 342.1540
EST12 EST01 600.4345
EST12 EST02 571.3808
EST12 EST03 614.8746
EST12 EST04 147.6428
EST12 EST05 161.9743
EST12 EST06 268.6586
EST12 EST07 453.3971
EST12 EST08 260.0172
EST12 EST09 380.9287
EST12 EST10 334.2894
EST12 EST11 304.6742
;
set MustPassThrough :=
(PTO01, MUN02, EST01)
(PTO01, MUN03, EST01)
(PTO01, MUN04, EST01)
(PTO01, MUN05, EST01)
(PTO01, MUN06, EST01)
(PTO01, MUN07, EST01)
(PTO01, MUN08, EST01)
(PTO01, MUN09, EST01)
(PTO01, MUN10, EST01)
(PTO01, MUN11, EST01)
(PTO01, MUN12, EST01)
(PTO01, MUN13, EST01)
(PTO01, MUN14, EST01)
(PTO01, MUN15, EST01)
(MUN02, PTO01, EST01)
(MUN03, PTO01, EST01)
(MUN04, PTO01, EST01)
(MUN05, PTO01, EST01)
(MUN06, PTO01, EST01)
(MUN07, PTO01, EST01)
(MUN08, PTO01, EST01)
(MUN09, PTO01, EST01)
(MUN10, PTO01, EST01)
(MUN11, PTO01, EST01)
(MUN12, PTO01, EST01)
(MUN13, PTO01, EST01)
(MUN14, PTO01, EST01)
(MUN15, PTO01, EST01)
;

param Ft := 5000;
param Cm := 700;
param consumo := 0.75;
